Season,Name,ERA,K9,BB9,HR9
2014,Julio Teheran,2.89,7.57,2.08,0.9
2012,Matt Harrison,3.29,5.61,2.49,0.93
2016,Ervin Santana,3.38,7.4,2.63,0.94
2011,Michael Pineda,3.74,9.11,2.89,0.95
2017,Trevor Bauer,4.19,10,3.06,1.28
2017,Robbie Ray,2.89,12.11,3.94,1.28
2016,Tanner Roark,2.83,7.37,3.13,0.73
2013,Ricky Nolasco,3.7,7.45,2.08,0.77
2013,Gio Gonzalez,3.36,8.83,3.5,0.78
2011,Brandon Morrow,4.72,10.19,3.46,1.05
2011,Philip Humber,3.75,6.4,2.26,0.77
2014,Chris Archer,3.33,8,3.33,0.55
2010,Jason Hammel,4.81,7.14,2.38,0.91
2010,Edwin Jackson,4.47,7.78,3.35,0.9
2013,C.J. Wilson,3.39,7.97,3.6,0.64
2016,J.A. Happ,3.18,7.52,2.77,1.02
2016,Julio Teheran,3.21,7.99,1.96,1.05
2014,Tanner Roark,2.85,6.25,1.77,0.72
2016,Michael Pineda,4.82,10.61,2.72,1.38
2016,Chris Archer,4.02,10.42,3,1.34
2014,Tyson Ross,2.81,8.97,3.31,0.6
2012,Josh Johnson,3.81,7.76,3.06,0.66
2013,Eric Stults,3.93,5.79,1.77,0.8
2014,Scott Kazmir,3.55,7.75,2.36,0.76
2017,Drew Pomeranz,3.32,9.02,3.58,0.98
2013,Andy Pettitte,3.74,6.22,2.33,0.83
2014,Hisashi Iwakuma,3.52,7.74,1.06,1.01
2011,Javier Vazquez,3.69,7.57,2.34,0.98
2011,Gio Gonzalez,3.12,8.78,4.05,0.76
2014,Mark Buehrle,3.39,5.3,2.05,0.67
2010,Gio Gonzalez,3.23,7.67,4.13,0.67
2016,John Lackey,3.35,8.6,2.53,1.1
2016,Robbie Ray,4.9,11.25,3.67,1.24
2014,Sonny Gray,3.08,7.52,3.04,0.62
2015,Danny Salazar,3.45,9.49,2.58,1.12
2017,Mike Leake,3.92,6.29,1.79,0.97
2015,Lance Lynn,3.03,8.57,3.49,0.67
2012,Mat Latos,3.48,7.95,2.75,1.07
2012,Madison Bumgarner,3.37,8.25,2.12,0.99
2017,Gerrit Cole,4.26,8.69,2.44,1.37
2015,Anthony DeSclafani,4.05,7.36,2.68,0.83
2016,Collin McHugh,4.34,8.63,2.63,1.22
2010,Clay Buchholz,2.33,6.22,3.47,0.47
2010,Jason Vargas,3.78,5.42,2.52,0.84
2016,Kevin Gausman,3.61,8.72,2.35,1.4
2011,Ricky Nolasco,4.67,6.47,1.92,0.87
2016,Cole Hamels,3.32,8.97,3.45,1.08
2017,Patrick Corbin,4.03,8.45,2.89,1.23
2012,A.J. Burnett,3.51,8.01,2.76,0.8
2011,John Danks,4.33,7.13,2.43,1
2011,Derek Holland,3.95,7.36,3.05,1
2016,Marco Estrada,3.48,8.44,3.32,1.18
2015,Jordan Zimmermann,3.66,7.32,1.74,1.07
2010,Brian Matusz,4.3,7.33,3.23,0.97
2011,Ubaldo Jimenez,4.68,8.6,3.73,0.81
2016,Jerad Eickhoff,3.65,7.62,1.92,1.37
2014,Justin Verlander,4.54,6.95,2.84,0.79
2010,Livan Hernandez,3.66,4.85,2.72,0.68
2012,Jered Weaver,2.81,6.77,2.15,0.95
2016,Adam Wainwright,4.62,7.29,2.67,1
2014,Brandon McCarthy,4.05,7.88,1.49,1.13
2016,Drew Pomeranz,3.32,9.81,3.43,1.16
